ranking,date,drama_name,drama_intro,drama_score_imdb,drama_score_tomato,drama_country,drama_date,drama_sub1,drama_sub2,flag_original,drama_cast,drama_director,drama_key,drama_type,value,drama_name_zh,drama_sub1_zh,drama_sub2_zh,drama_country_zh
7,2020-08-22,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",88,86,Japan,2019-04-06T00:00:00Z,Fantasy,NA,FALSE,"Hanae Natsuki, Yoshitsugu Matsuoka, Akari Kito, Shimono Hiro, Takahiro Sakurai, Yuri Ehara, Ai Kakuma",Sotozaki Haruo,4,drama,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba,鬼滅之刃,幻想,NA,日本
7,2020-08-23,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",88,86,Japan,2019-04-06T00:00:00Z,Fantasy,NA,FALSE,"Hanae Natsuki, Yoshitsugu Matsuoka, Akari Kito, Shimono Hiro, Takahiro Sakurai, Yuri Ehara, Ai Kakuma",Sotozaki Haruo,4,drama,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba,鬼滅之刃,幻想,NA,日本
7,2020-08-24,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",88,86,Japan,2019-04-06T00:00:00Z,Fantasy,NA,FALSE,"Hanae Natsuki, Yoshitsugu Matsuoka, Akari Kito, Shimono Hiro, Takahiro Sakurai, Yuri Ehara, Ai Kakuma",Sotozaki Haruo,4,drama,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba,鬼滅之刃,幻想,NA,日本
7,2020-08-25,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",88,86,Japan,2019-04-06T00:00:00Z,Fantasy,NA,FALSE,"Hanae Natsuki, Yoshitsugu Matsuoka, Akari Kito, Shimono Hiro, Takahiro Sakurai, Yuri Ehara, Ai Kakuma",Sotozaki Haruo,4,drama,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba,鬼滅之刃,幻想,NA,日本
7,2020-08-26,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",88,86,Japan,2019-04-06T00:00:00Z,Fantasy,NA,FALSE,"Hanae Natsuki, Yoshitsugu Matsuoka, Akari Kito, Shimono Hiro, Takahiro Sakurai, Yuri Ehara, Ai Kakuma",Sotozaki Haruo,4,drama,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba,鬼滅之刃,幻想,NA,日本
7,2020-08-27,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",88,86,Japan,2019-04-06T00:00:00Z,Fantasy,NA,FALSE,"Hanae Natsuki, Yoshitsugu Matsuoka, Akari Kito, Shimono Hiro, Takahiro Sakurai, Yuri Ehara, Ai Kakuma",Sotozaki Haruo,4,drama,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba,鬼滅之刃,幻想,NA,日本
7,2020-08-28,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",88,86,Japan,2019-04-06T00:00:00Z,Fantasy,NA,FALSE,"Hanae Natsuki, Yoshitsugu Matsuoka, Akari Kito, Shimono Hiro, Takahiro Sakurai, Yuri Ehara, Ai Kakuma",Sotozaki Haruo,4,drama,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba,鬼滅之刃,幻想,NA,日本
7,2020-08-29,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.",88,86,Japan,2019-04-06T00:00:00Z,Fantasy,NA,FALSE,"Hanae Natsuki, Yoshitsugu Matsuoka, Akari Kito, Shimono Hiro, Takahiro Sakurai, Yuri Ehara, Ai Kakuma",Sotozaki Haruo,4,drama,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba,鬼滅之刃,幻想,NA,日本
7,2020-08-30,The Umbrella Academy,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",83,75,USA,2019-02-15T00:00:00Z,Superhero,Independent Comics,TRUE,"Ellen Page, Tom Hopper, Aidan Gallagher, Emmy Raver-Lampman, David Castaneda, Robert Sheehan, Justin H. Min",NA,64,drama,https://flixpatrol.com/title/the-umbrella-academy,雨傘學院,超級英雄,獨立漫畫,美國
7,2020-08-31,The Umbrella Academy,"A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.",83,75,USA,2019-02-15T00:00:00Z,Superhero,Independent Comics,TRUE,"Ellen Page, Tom Hopper, Aidan Gallagher, Emmy Raver-Lampman, David Castaneda, Robert Sheehan, Justin H. Min",NA,64,drama,https://flixpatrol.com/title/the-umbrella-academy,雨傘學院,超級英雄,獨立漫畫,美國
